name                                    #n         tsub      ttot      tavg
..ython2.7/threading.py:750 Thread.run  43         0.000413  244.4062  5.683865
..nts/ai_player.py:72 AIPlayer.ai_move  43         0.000588  244.4058  5.683855
..i_player.py:112 AIPlayer.minmax_move  43         0.002190  244.3934  5.683569
.. AIPlayer.minmax_alpha_beta_prunning  8176717..  35.59695  244.3669  0.000030
..ments/ai_player.py:193 Node.children  8985731    21.56315  179.2416  0.000020
..ments/ai_player.py:167 Node.__init__  8176760    22.07757  145.5656  0.000018
../src/scenes/base.py:31 MainMenu.loop  318436/..  3.919880  140.7823  0.000442
..ements/game_div.py:49 GameDiv.motion  625789/..  8.209557  65.25729  0.000104
../src/scenes/chess.py:155 Chess.event  14699      0.141598  64.94304  0.004418
..elements/game_div.py:31 GameDiv.draw  66265/1..  0.511571  48.32571  0.000729
..y:100 GameTextElement.motion_element  290929     2.053671  45.06134  0.000155
..element.py:63 GameTextElement.redraw  32988      2.040267  44.57447  0.001351
..EZ_ES2/src/scenes/chess.py:80 motion  28898      0.284863  41.14928  0.001424
..s/others.py:15 LazyAttribute.__get__  3068534..  10.41285  38.17742  0.000012
..c/scenes/end_menu.py:44 EndMenu.draw  525        0.010207  26.72294  0.050901
..2/src/scenes/chess.py:131 Chess.draw  317882     3.642972  26.53858  0.000083
..cenes/elements/others.py:33 <lambda>  33000      0.371531  24.48554  0.000742
..ckages/pygame/sysfont.py:534 SysFont  33000      9.401796  23.89616  0.000724
../snap_element.py:18 SnapElement.draw  1417       0.013680  23.48402  0.016573
..ment.py:18 ImageElement.draw_element  5697       0.038181  19.90074  0.003493
..group.py:63 ButtonGroup.draw_element  2554       0.031984  19.82912  0.007764
..utton_group.py:7 AAfilledRoundedRect  2554       1.094622  19.25112  0.007538
..ents/ai_player.py:156 evaluate_state  7367789    9.904945  14.58871  0.000002
..ges/pygame/pkgdata.py:34 getResource  33000      0.212574  14.49436  0.000439
..thon2.7/threading.py:600 _Event.wait  1974       0.024832  9.854472  0.004992
..2.7/threading.py:308 _Condition.wait  1974       0.732237  9.807378  0.004968
..s/base.py:21 MinutesPerGameTimer.run  2          0.023534  9.750523  4.875261
..es/pkg_resources.py:212 get_provider  66000      0.769147  8.794032  0.000133
..:901 ResourceManager.resource_exists  33000      0.231979  7.695760  0.000233
..elements/ai_player.py:181 Node.value  8176717    7.566694  7.566694  0.000001
..ces.py:1287 DefaultProvider.__init__  66000      0.451491  6.822580  0.000103
..:917 ResourceManager.resource_stream  33000      0.198318  6.586029  0.000200
..y:1291 DefaultProvider._setup_prefix  66000      1.661409  4.920042  0.000075
..t.py:87 GameTextElement.draw_element  29636      0.101642  3.957249  0.000134
..py:1201 DefaultProvider.has_resource  33000      0.165062  2.613418  0.000079
../lib/python2.7/posixpath.py:89 split  396000     1.829984  2.587087  0.000007
..ent.py:23 PiecesElement.draw_element  1417       0.174088  2.529316  0.001785
.. DefaultProvider.get_resource_stream  33000      0.163555  2.444042  0.000074
..elements/ai_player.py:176 Node.value  7367746    2.096179  2.096179  0.000000
..ts/ai_player.py:189 Node.is_terminal  809187     1.512519  1.931338  0.000002
..sources.py:1313 DefaultProvider._has  33000      0.107942  1.846703  0.000056
..b/python2.7/genericpath.py:15 exists  33001      0.189196  1.738770  0.000053
..ces.py:1188 DefaultProvider.__init__  66000      0.429231  1.451047  0.000022
..esources.py:1269 DefaultProvider._fn  66000      0.401506  1.053528  0.000016
..cenes/elements/others.py:20 <lambda>  1402997    0.849324  0.849324  0.000001
..b/python2.7/posixpath.py:127 dirname  66000      0.543575  0.825899  0.000013
..80 GameTextElement.set_rect_position  355778     0.804534  0.804534  0.000002
..ement.py:23 RectElement.draw_element  1417       0.013300  0.744201  0.000525
../pkg_resources.py:2738 _find_adapter  66000      0.397240  0.717450  0.000011
..scenes/main_menu.py:73 MainMenu.draw  29         0.000209  0.575322  0.019839
..me_div.py:73 ListOptionElement.width  127819/..  0.043562  0.532702  0.000004
..r/lib/python2.7/posixpath.py:68 join  66035      0.376548  0.511593  0.000008
..cenes/main_menu.py:77 MainMenu.event  63         0.000143  0.453845  0.007204
../scenes/end_menu.py:50 EndMenu.event  293/292    0.000591  0.433064  0.001478
..nes/elements/game_div.py:17 <lambda>  613717     0.418435  0.418435  0.000001
..ES2/src/scenes/end_menu.py:32 motion  873        0.001133  0.378296  0.000433
..cenes/chess.py:67 Chess.human_player  28898      0.152477  0.362836  0.000013
